date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:59	8264/8264	---M--	200	added ('OK')	image/png	etag:%222048-5b813979b9ac0%22	https://api.amu.ac.in/storage//images/editor/moe.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/moe.png	(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:02	10290/10290	---MC-	200	added ('OK')	text/javascript	date:Sat,%2026%20Nov%202022%2009:14:02%20GMT	https://cse.google.com/cse.js?cx=20361d874ddab284d	/storage/emulated/0/HTTrack/Websites/ammia/cse.google.com/fd463.txt	(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2026%20Nov%202022%2009:14:04%20GMT	https://www.googletagmanager.com/gtm.js?id=	/storage/emulated/0/HTTrack/Websites/ammia/www.googletagmanager.com/gtm.755445.delayed	(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:04	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:53%20GMT	http://www.amu.ac.in/runtime.js	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/runtime.76.delayed	(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:04	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:53%20GMT	http://www.amu.ac.in/es2015-polyfills.js	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/es2015-polyfills.js	(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:05	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:54%20GMT	http://www.amu.ac.in/polyfills.js	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/polyfills.js	(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:06	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:55%20GMT	http://www.amu.ac.in/scripts.js	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/scripts.js	(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:08	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:56%20GMT	http://www.amu.ac.in/main.js	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/main.js	(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:16	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:03:03%20GMT	http://www.amu.ac.in/robots.txt		(from https://www.amu.ac.in/miscellaneous/alumni)
14:44:17	265/265	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:03:05%20GMT	http://www.amu.ac.in/miscellaneous/amu-law-society-review	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/amu-law-society-review	(from https://www.amu.ac.in/miscellaneous/alumni)
